                                  column                                   match                                   label type csv grp show sort srch wdth
           "NAME_OF_HIGHEST_STATE_COURT"           "NAME_OF_HIGHEST_STATE_COURT"           "NAME_OF_HIGHEST_STATE_COURT"  chr   0   0    0    0    0    0
                    "WORKSITE_WORKERS_1"                    "WORKSITE_WORKERS_1"                    "WORKSITE_WORKERS_1"  num   0   0    0    0    0    0
                    "SECONDARY_ENTITY_1"                      "SECONDARY_ENTITY"                    "SECONDARY_ENTITY_1"  chr   0   0    0    0    0    0
      "SECONDARY_ENTITY_BUSINESS_NAME_1"        "SECONDARY_ENTITY_BUSINESS_NAME"      "SECONDARY_ENTITY_BUSINESS_NAME_1"  chr   0   0    0    0    0    0
                   "WORKSITE_ADDRESS1_1"                   "WORKSITE_ADDRESS1_1"                   "WORKSITE_ADDRESS1_1"  chr   0   0    0    0    0    0
                   "WORKSITE_ADDRESS2_1"                   "WORKSITE_ADDRESS2_1"                   "WORKSITE_ADDRESS2_1"  chr   0   0    0    0    0    0
                       "WORKSITE_CITY_1"                         "WORKSITE_CITY"                       "WORKSITE_CITY_1"  chr   0   0    0    0    0    0
                     "WORKSITE_COUNTY_1"                     "WORKSITE_COUNTY_1"                     "WORKSITE_COUNTY_1"  chr   0   0    0    0    0    0
                      "WORKSITE_STATE_1"                        "WORKSITE_STATE"                      "WORKSITE_STATE_1"  chr   0   0    0    0    0    0
                "WORKSITE_POSTAL_CODE_1"                "WORKSITE_POSTAL_CODE_1"                "WORKSITE_POSTAL_CODE_1"  chr   0   0    0    0    0    0
               "WAGE_RATE_OF_PAY_FROM_1"                 "WAGE_RATE_OF_PAY_FROM"               "WAGE_RATE_OF_PAY_FROM_1"  chr   0   0    0    0    0    0
                 "WAGE_RATE_OF_PAY_TO_1"                   "WAGE_RATE_OF_PAY_TO"                 "WAGE_RATE_OF_PAY_TO_1"  chr   0   0    0    0    0    0
                    "WAGE_UNIT_OF_PAY_1"                      "WAGE_UNIT_OF_PAY"                    "WAGE_UNIT_OF_PAY_1"  chr   0   0    0    0    0    0
                     "PREVAILING_WAGE_1"                       "PREVAILING_WAGE"                     "PREVAILING_WAGE_1"  chr   0   0    0    0    0    0
                      "PW_UNIT_OF_PAY_1"                        "PW_UNIT_OF_PAY"                      "PW_UNIT_OF_PAY_1"  chr   0   0    0    0    0    0
                  "PW_TRACKING_NUMBER_1"                  "PW_TRACKING_NUMBER_1"                  "PW_TRACKING_NUMBER_1"  chr   0   0    0    0    0    0
                       "PW_WAGE_LEVEL_1"                         "PW_WAGE_LEVEL"                       "PW_WAGE_LEVEL_1"  chr   0   0    0    0    0    0
                         "PW_OES_YEAR_1"                         "PW_OES_YEAR_1"                         "PW_OES_YEAR_1"  chr   0   0    0    0    0    0
                     "PW_OTHER_SOURCE_1"                     "PW_OTHER_SOURCE_1"                     "PW_OTHER_SOURCE_1"  chr   0   0    0    0    0    0
                     "PW_NON-OES_YEAR_1"                     "PW_NON-OES_YEAR_1"                     "PW_NON-OES_YEAR_1"  num   0   0    0    0    0    0
                 "PW_SURVEY_PUBLISHER_1"                 "PW_SURVEY_PUBLISHER_1"                 "PW_SURVEY_PUBLISHER_1"  num   0   0    0    0    0    0
                      "PW_SURVEY_NAME_1"                      "PW_SURVEY_NAME_1"                      "PW_SURVEY_NAME_1"  chr   0   0    0    0    0    0
                    "WORKSITE_WORKERS_2"                    "WORKSITE_WORKERS_2"                    "WORKSITE_WORKERS_2"  num   0   0    0    0    0    0
                    "SECONDARY_ENTITY_2"                    "SECONDARY_ENTITY_2"                    "SECONDARY_ENTITY_2"  chr   0   0    0    0    0    0
      "SECONDARY_ENTITY_BUSINESS_NAME_2"      "SECONDARY_ENTITY_BUSINESS_NAME_2"      "SECONDARY_ENTITY_BUSINESS_NAME_2"  chr   0   0    0    0    0    0
                   "WORKSITE_ADDRESS1_2"                   "WORKSITE_ADDRESS1_2"                   "WORKSITE_ADDRESS1_2"  chr   0   0    0    0    0    0
                   "WORKSITE_ADDRESS2_2"                   "WORKSITE_ADDRESS2_2"                   "WORKSITE_ADDRESS2_2"  chr   0   0    0    0    0    0
                       "WORKSITE_CITY_2"                       "WORKSITE_CITY_2"                       "WORKSITE_CITY_2"  chr   0   0    0    0    0    0
                     "WORKSITE_COUNTY_2"                     "WORKSITE_COUNTY_2"                     "WORKSITE_COUNTY_2"  chr   0   0    0    0    0    0
                      "WORKSITE_STATE_2"                      "WORKSITE_STATE_2"                      "WORKSITE_STATE_2"  chr   0   0    0    0    0    0
                "WORKSITE_POSTAL_CODE_2"                "WORKSITE_POSTAL_CODE_2"                "WORKSITE_POSTAL_CODE_2"  chr   0   0    0    0    0    0
               "WAGE_RATE_OF_PAY_FROM_2"               "WAGE_RATE_OF_PAY_FROM_2"               "WAGE_RATE_OF_PAY_FROM_2"  chr   0   0    0    0    0    0
                 "WAGE_RATE_OF_PAY_TO_2"                 "WAGE_RATE_OF_PAY_TO_2"                 "WAGE_RATE_OF_PAY_TO_2"  chr   0   0    0    0    0    0
